,Species,Clutch Completion,Date Egg,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Male,Delta 15 N (o/oo),Delta 13 C (o/oo),Island_Biscoe,Island_Dream,Island_Torgersen
169,1,1,733,50.0,15.3,220.0,5550.0,1,8.30515,-25.19017,1,0,0
171,2,1,13,37.3,20.5,199.0,3775.0,1,9.49645,-26.36678,0,0,1
172,1,1,13,46.9,14.6,222.0,4875.0,0,7.8881,-26.04726,1,0,0
173,1,1,11,49.8,15.9,229.0,5950.0,1,8.29226,-26.21019,1,0,0
174,1,1,6,52.1,17.0,230.0,5550.0,1,8.27595,-26.11657,1,0,0
175,1,1,6,52.2,17.1,228.0,5400.0,1,8.36701,-25.89834,1,0,0
176,0,1,736,47.0,17.3,185.0,3700.0,0,8.72037,-24.80526,0,1,0
177,0,1,4,49.0,19.6,212.0,4300.0,1,9.34089,-24.45189,0,1,0
178,1,1,735,49.2,15.2,221.0,6300.0,1,8.27376,-25.00169,1,0,0
179,0,1,736,51.3,19.2,193.0,3650.0,1,9.29078,-24.7557,0,1,0
180,1,1,735,43.3,13.4,209.0,4400.0,0,8.13643,-25.32176,1,0,0
181,2,1,746,40.3,18.0,195.0,3250.0,0,8.36821,-25.33302,0,0,1
182,2,1,14,42.7,18.3,196.0,4075.0,1,8.91434,-26.42018,1,0,0
183,0,1,372,51.0,18.8,203.0,4100.0,1,9.23196,-24.17282,0,1,0
184,1,1,735,46.7,15.3,219.0,5200.0,1,8.22673,-25.4276,1,0,0
185,2,0,14,36.2,17.2,187.0,3150.0,0,9.04296,-26.19444,0,0,1
186,1,1,393,43.6,13.9,217.0,4900.0,0,8.27141,-26.7765,1,0,0
187,1,1,390,51.1,16.3,220.0,6000.0,1,8.40327,-26.76821,1,0,0
188,2,1,10,41.5,18.3,195.0,4300.0,1,8.52566,-26.0245,0,0,1
189,2,1,388,35.5,17.5,190.0,3700.0,0,8.70642,-26.15003,0,0,1
190,1,1,390,43.2,14.5,208.0,4450.0,0,8.48367,-26.86485,1,0,0
191,2,0,752,40.5,18.9,180.0,3950.0,1,8.90027,-25.11609,1,0,0
192,2,1,389,35.1,19.4,193.0,4200.0,1,8.90002,-26.46254,0,0,1
193,1,1,392,49.8,16.8,230.0,5700.0,1,8.47067,-26.69166,1,0,0
194,2,1,16,38.2,20.0,190.0,3900.0,1,9.59245,-25.70711,1,0,0
195,0,1,14,50.9,17.9,196.0,3675.0,0,9.43684,-24.16566,0,1,0
196,0,1,10,51.4,19.0,201.0,3950.0,1,9.43782,-24.36202,0,1,0
197,2,1,21,37.5,18.5,199.0,4475.0,1,8.56708,-26.49288,0,1,0
198,0,1,372,42.5,16.7,187.0,3350.0,0,9.36668,-24.45195,0,1,0
199,1,1,733,47.8,15.0,215.0,5650.0,1,7.92358,-25.48383,1,0,0
200,2,1,746,37.0,16.9,185.0,3000.0,0,9.36392,-25.01745,0,1,0
201,1,1,13,49.4,15.8,216.0,4925.0,1,8.03624,-26.06594,1,0,0
202,2,1,383,41.6,18.0,192.0,3950.0,1,8.85562,-26.09294,1,0,0
203,1,1,21,53.4,15.8,219.0,5500.0,1,8.41017,-26.33867,1,0,0
204,2,1,379,41.3,20.3,194.0,3550.0,1,9.14863,-26.09635,0,1,0
205,0,1,371,49.7,18.6,195.0,3600.0,1,9.75486,-24.31198,0,1,0
206,2,1,382,33.5,19.0,190.0,3600.0,0,7.88863,-26.63085,0,0,1
207,0,1,734,51.3,18.2,197.0,3750.0,1,8.63701,-24.84059,0,1,0
209,2,1,746,39.2,21.1,196.0,4150.0,1,9.15308,-25.03469,0,1,0
210,2,0,752,37.9,18.6,172.0,3150.0,0,8.38404,-25.19837,1,0,0
211,0,1,732,46.4,18.6,190.0,3450.0,0,9.32105,-24.64162,0,1,0
212,2,1,15,32.1,15.5,188.0,3050.0,0,8.79787,-26.61075,0,1,0
213,1,1,733,48.2,14.3,210.0,4600.0,0,7.6887,-25.50811,1,0,0
214,2,0,8,43.1,19.2,197.0,3500.0,1,8.86495,-26.1396,0,0,1
215,1,1,383,43.5,14.2,220.0,4700.0,0,8.64931,-26.68867,1,0,0
216,2,1,390,40.1,18.9,188.0,4300.0,1,8.51362,-26.55602,1,0,0
217,2,1,379,40.8,18.9,208.0,4300.0,1,8.48204,-26.57941,0,1,0
218,1,1,390,47.5,14.2,209.0,4600.0,0,8.39299,-26.78733,1,0,0
219,0,0,371,50.5,18.4,200.0,3400.0,0,8.9399,-23.89017,0,1,0
220,0,1,8,45.7,17.3,193.0,3600.0,0,9.415,-24.805,0,1,0
221,2,1,15,41.4,18.5,202.0,3875.0,1,9.59462,-25.42621,0,0,1
223,2,1,388,38.9,18.8,190.0,3600.0,0,8.36936,-26.11199,0,1,0
224,1,1,394,44.9,13.3,213.0,5100.0,0,8.45167,-26.89644,1,0,0
225,0,1,4,42.5,17.3,187.0,3350.0,0,9.56534,-24.60882,0,1,0
226,2,1,15,35.6,17.5,191.0,3175.0,0,8.75984,-25.97696,0,1,0
227,2,1,750,40.6,18.6,183.0,3550.0,1,8.93997,-25.36288,1,0,0
228,1,1,0,48.8,16.2,222.0,6000.0,1,8.33825,-25.88547,1,0,0
229,2,1,17,40.6,17.2,187.0,3475.0,1,9.23408,-26.01549,0,1,0
231,2,1,746,36.7,19.3,193.0,3450.0,0,8.76651,-25.32426,0,0,1
233,1,1,22,43.3,14.0,208.0,4575.0,0,8.4207,-26.38092,1,0,0
234,1,1,390,46.4,15.0,216.0,4700.0,0,8.47938,-26.9547,1,0,0
235,1,1,0,45.5,14.5,212.0,4750.0,0,8.15566,-26.22848,1,0,0
236,2,1,22,35.0,17.9,192.0,3725.0,0,8.84451,-26.28055,1,0,0
237,1,1,735,45.4,14.6,211.0,4800.0,0,8.24515,-25.46782,1,0,0
238,0,1,372,49.0,19.5,210.0,3950.0,1,9.53262,-24.66867,0,1,0
239,1,1,390,48.6,16.0,230.0,5800.0,1,8.5964,-26.71199,1,0,0
240,0,1,10,50.8,19.0,210.0,4100.0,1,9.98044,-24.68741,0,1,0
241,0,1,4,46.8,16.5,189.0,3650.0,0,9.65061,-24.48153,0,1,0
242,2,1,16,37.8,20.0,190.0,4250.0,1,9.51929,-25.69199,1,0,0
243,0,1,732,49.2,18.2,195.0,4400.0,1,9.27158,-24.64335,0,1,0
244,2,1,386,33.1,16.1,178.0,2900.0,0,9.04218,-26.15775,0,1,0
245,2,1,746,38.8,20.0,190.0,3950.0,1,9.18985,-25.12255,0,1,0
246,0,1,12,55.8,19.8,207.0,4000.0,1,9.70465,-24.53494,0,1,0
247,2,1,383,41.3,21.1,195.0,4400.0,1,8.74802,-26.37809,1,0,0
248,2,1,14,36.0,17.1,187.0,3700.0,0,8.93465,-26.07081,0,1,0
251,2,1,753,39.5,17.8,188.0,3300.0,0,9.66523,-25.0602,0,1,0
252,1,1,392,45.8,14.2,219.0,4700.0,0,8.60447,-26.61601,1,0,0
254,1,1,9,46.8,14.3,215.0,4850.0,0,8.41151,-26.13832,1,0,0
255,0,1,8,51.5,18.7,187.0,3250.0,1,9.6895,-24.43062,0,1,0
256,1,1,11,51.3,14.2,218.0,5300.0,1,8.15426,-26.3433,1,0,0
257,2,1,750,40.5,17.9,187.0,3200.0,0,8.08138,-25.49448,1,0,0
258,1,1,393,46.2,14.9,221.0,5300.0,1,8.60092,-26.84374,1,0,0
259,1,0,735,40.9,13.7,214.0,4650.0,0,8.19579,-25.3933,1,0,0
260,0,1,734,46.6,17.8,193.0,3800.0,0,8.95063,-24.59897,0,1,0
261,1,1,21,41.7,14.7,210.0,4700.0,0,8.12311,-26.44815,1,0,0
262,2,0,15,37.0,16.5,185.0,3400.0,0,8.61651,-26.07021,0,1,0
263,2,1,383,37.6,17.0,185.0,3600.0,0,8.58063,-26.21569,1,0,0
264,2,1,18,41.1,17.5,190.0,3900.0,1,8.94365,-26.06943,0,1,0
265,2,1,13,39.0,17.1,191.0,3050.0,0,9.19031,-25.73722,0,0,1
267,2,1,383,36.4,17.1,184.0,2850.0,0,8.62623,-26.1165,1,0,0
268,2,1,746,34.6,21.1,198.0,4400.0,1,8.55583,-25.22588,0,0,1
269,0,1,741,52.7,19.8,197.0,3725.0,1,9.00642,-24.61867,0,1,0
270,2,1,746,36.5,18.0,182.0,3150.0,0,9.68933,-24.4228,0,1,0
271,1,1,4,50.8,15.7,226.0,5200.0,1,8.27102,-26.11244,1,0,0
272,1,1,390,50.4,15.3,224.0,5550.0,1,8.74647,-26.79846,1,0,0
273,0,0,10,43.5,18.1,202.0,3400.0,0,9.37608,-24.40753,0,1,0
274,1,1,387,45.2,13.8,215.0,4750.0,0,8.24694,-26.65359,1,0,0
275,1,1,735,42.0,13.5,210.0,4150.0,0,7.63884,-25.52627,1,0,0
276,0,1,4,52.2,18.8,197.0,3450.0,1,9.77528,-24.56481,0,1,0
278,1,1,13,47.2,15.5,215.0,4975.0,0,8.30817,-26.21651,1,0,0
279,1,1,733,42.8,14.2,209.0,4700.0,0,7.63452,-25.46327,1,0,0
280,1,1,6,55.1,16.0,230.0,5850.0,1,8.08354,-26.18161,1,0,0
281,1,1,4,44.5,14.7,214.0,4850.0,0,8.20106,-26.16524,1,0,0
282,1,1,394,45.2,15.8,215.0,5300.0,1,8.55868,-26.67799,1,0,0
283,0,1,8,49.8,17.3,198.0,3675.0,0,9.32169,-24.41562,0,1,0
284,0,1,741,51.3,19.9,198.0,3700.0,1,8.79581,-24.36088,0,1,0
285,2,1,743,44.1,19.7,196.0,4400.0,1,9.2372,-24.52698,0,1,0
286,0,0,10,49.6,18.2,193.0,3775.0,1,9.4618,-24.70615,0,1,0
287,0,0,372,46.9,16.6,192.0,2700.0,0,9.80589,-24.73735,0,1,0
288,1,1,387,48.7,15.7,208.0,5350.0,1,8.14776,-26.84506,1,0,0
289,2,1,16,39.7,18.9,184.0,3550.0,1,8.85699,-25.80208,1,0,0
290,2,1,387,42.0,19.5,200.0,4050.0,1,8.48095,-26.3146,1,0,0
291,2,1,751,39.5,17.4,186.0,3800.0,0,8.94956,-24.69454,0,0,1
292,2,1,749,42.3,21.2,191.0,4150.0,1,8.87988,-25.18543,0,1,0
293,2,1,394,34.6,17.2,189.0,3200.0,0,7.69778,-26.5387,0,0,1
294,0,1,8,50.7,19.7,203.0,4050.0,1,9.93727,-24.59066,0,1,0
295,2,1,746,36.4,17.0,195.0,3325.0,0,9.17847,-25.23061,0,1,0
296,1,1,392,49.6,15.0,216.0,4750.0,1,8.26548,-26.7699,1,0,0
297,2,1,382,41.1,18.1,205.0,4300.0,1,8.77018,-25.83352,0,1,0
298,2,1,387,35.0,17.9,190.0,3450.0,0,8.19539,-26.17213,1,0,0
299,1,1,393,50.5,15.9,222.0,5550.0,1,8.46894,-26.60436,1,0,0
300,1,1,735,45.1,14.5,215.0,5000.0,0,7.6322,-25.46569,1,0,0
302,2,1,388,38.3,19.2,189.0,3950.0,1,9.07826,-26.12417,0,1,0
303,1,1,392,50.1,15.0,225.0,5000.0,1,8.50153,-26.61414,1,0,0
304,0,1,740,45.9,17.1,190.0,3575.0,0,9.12277,-24.90024,0,1,0
305,1,0,0,47.2,13.7,214.0,4925.0,0,7.99184,-26.20538,1,0,0
306,2,1,18,38.1,17.6,187.0,3425.0,0,8.717,-25.77951,0,1,0
307,1,1,11,43.4,14.4,218.0,4600.0,0,8.23468,-26.18599,1,0,0
308,1,1,6,46.2,14.1,217.0,4375.0,0,8.30231,-25.96013,1,0,0
309,1,1,735,46.3,15.8,215.0,5050.0,1,7.90971,-25.38157,1,0,0
310,2,1,387,34.5,18.1,187.0,2900.0,0,8.41837,-26.54718,1,0,0
311,2,1,390,39.6,17.7,186.0,3500.0,0,8.46616,-26.12989,1,0,0
312,0,0,734,43.2,16.6,187.0,2900.0,0,9.35416,-25.01185,0,1,0
313,0,1,382,52.0,20.7,210.0,4800.0,1,9.43146,-24.6844,0,1,0
314,1,1,9,45.2,14.8,212.0,5200.0,0,8.24246,-26.11969,1,0,0
315,0,1,371,47.5,16.8,199.0,3900.0,0,9.07825,-25.1455,0,1,0
316,0,0,732,58.0,17.8,181.0,3700.0,0,9.14382,-24.57994,0,1,0
317,2,1,381,36.5,16.6,181.0,2850.0,0,9.07878,-25.88156,1,0,0
318,2,1,749,36.0,17.9,190.0,3450.0,0,9.51784,-25.07683,0,1,0
319,1,1,729,49.3,15.7,217.0,5850.0,1,8.07137,-25.52473,1,0,0
320,1,1,729,45.1,14.5,207.0,5050.0,0,7.97408,-25.53768,1,0,0
321,2,1,750,37.7,18.7,180.0,3600.0,1,8.66271,-25.0639,1,0,0
322,1,1,0,49.5,16.1,224.0,5650.0,1,8.83352,-25.69195,1,0,0
323,0,1,741,46.0,18.9,195.0,4150.0,0,8.47173,-24.29229,0,1,0
324,1,1,393,43.8,13.9,208.0,4300.0,0,8.58319,-26.84415,1,0,0
325,0,0,372,53.5,19.9,205.0,4500.0,1,10.02544,-24.90816,0,1,0
326,1,1,387,46.5,14.8,217.0,5200.0,0,8.58487,-26.5929,1,0,0
327,1,1,394,44.4,17.3,219.0,5250.0,1,8.13746,-26.79093,1,0,0
328,1,1,6,47.5,14.0,212.0,4875.0,0,8.12691,-26.23613,1,0,0
329,2,1,14,37.8,18.1,193.0,3750.0,1,8.97533,-26.03495,0,1,0
330,2,0,8,38.5,17.9,190.0,3325.0,0,8.9846,-25.57956,0,0,1
331,2,1,14,41.5,18.5,201.0,4000.0,1,8.8964,-26.06967,0,1,0
332,2,1,386,43.2,18.5,192.0,4100.0,1,8.97025,-26.03679,0,1,0
333,2,1,388,36.9,18.6,189.0,3500.0,0,8.59147,-26.08165,0,1,0
334,1,1,11,50.5,15.2,216.0,5000.0,0,8.24691,-26.18466,1,0,0
335,0,1,12,45.7,17.0,195.0,3650.0,0,9.26715,-24.31912,0,1,0
336,2,0,14,37.7,19.8,198.0,3500.0,1,9.11066,-26.42563,0,0,1
337,1,1,9,49.9,16.1,213.0,5400.0,1,8.3639,-26.15531,1,0,0
338,2,1,750,37.8,18.3,174.0,3400.0,0,8.73762,-25.09383,1,0,0
339,0,1,382,47.6,18.3,195.0,3850.0,0,8.83502,-24.65859,0,1,0
340,2,1,382,39.7,18.4,190.0,3900.0,1,9.29808,-25.23453,0,0,1
341,2,1,16,38.6,17.2,199.0,3750.0,0,8.77322,-26.48973,1,0,0
342,1,1,392,46.6,14.2,210.0,4850.0,0,8.38289,-26.86352,1,0,0
343,2,1,16,37.7,16.0,183.0,3075.0,0,9.2151,-26.2253,1,0,0
